"","flag","situacao"
"145","ANDRADAS_MG","Ok"
"146","ANDRADINA_SP","Ok"
"147","ANDRE_DA_ROCHA_RS","Ok"
"148","ANGATUBA_SP","Ok"
"149","ANGELICA_MS","Ok"
"150","ANGELINA_SC","Ok"
"151","ANGICAL_BAHIA","Ok"
"152","ANGICO_TO","Ok"
"153","ANGRA_DOS_REIS_RJ","Ok"
"154","ANGUERA_BAHIA","Ok"
"155","ANHEMBI_SP","Ok"
"156","ANHUMAS_SP","Ok"
"157","ANITAPOLIS_SC","Ok"
"158","ANTA_GORDA_RS","Ok"
"159","ANTAS_BAHIA","Ok"
"160","ANTONINA_PR","Ok"
"161","ANTONIO_CARDOSO_BAHIA","Ok"
"162","ANTONIO_CARLOS_SC","Ok"
"163","ANTONIO_DIAS_MG","Ok"
"164","ANTONIO_GONCALVES_BAHIA","Ok"
"165","ANTONIO_JOAO_MS","Ok"
"166","ANTONIO_MARTINS_RN","Ok"
"167","ANTONIO_PRADO_RS","Ok"
"168","APARECIDA_SP","Ok"
"169","APARECIDA_DE_GOIANIA_GOIAS","Ok"
"170","APARECIDA_DE_TABOADA_MS","Ok"
"171","APARECIDA_D'OESTE_SP","Ok"
"172","APERIBE_RJ","Ok"
"173","APIAI_SP","Ok"
"174","APIUNA_SC","Ok"
"175","APORA_BAHIA","Ok"
"176","APUAREMA_BAHIA","Ok"
"177","APUCARANA_PR","Ok"
"178","AQUIDABA_SE","Ok"
"179","AQUIDAUANA_MS","Ok"
"180","AQUIRAZ_CE","Ok"
"181","ARACAJU_SE","Ok"
"182","ARACARIGUAMA_SP","Ok"
"183","ARACAS_BAHIA","Ok"
"184","ARACATI_CE","Ok"
"185","ARACATU_BAHIA","Ok"
"186","ARACATUBA_SP","Ok"
"187","ARACI_BAHIA","Ok"
"188","ARACOIABA_DA_SERRA_SP","Ok"
"189","ARACRUZ_ESPIRITO_SANTO","Ok"
"190","ARAGUACU_TO","Ok"
"191","ARAGUAINA_TO","Ok"
"192","ARAGUARI_MG","Ok"
"193","ARAGUATINS_TO","Ok"
"194","ARAIOSES,_MA","Ok"
"195","ARAL_MOREIRA_MS","Ok"
"196","ARAMARI_BAHIA","Ok"
"197","ARAMBARE_RS","Ok"
"198","ARAMINA_SP","Ok"
"199","ARANDU_SP","Ok"
"200","ARANTINA_MG","Ok"
"201","ARAPEI_SP","Ok"
"202","ARAPIRACA_AL","Ok"
"203","ARAPOEMA_TO","Ok"
"204","ARAPONGAS_PR","Ok"
"205","ARAPORA_MG","Ok"
"206","ARAPOTI_PR","Ok"
"207","ARAPUTANGA_MT","Ok"
"208","ARAQUARI_SC","Ok"
"209","ARARA_PARAIBA","Ok"
"210","ARARANGUA_SC","Ok"
"211","ARARAQUARA_SP","Ok"
"212","ARARAS_SP","Ok"
"213","ARARICA_RS","Ok"
"214","ARARIPE_CE","Ok"
